"id","jersey_number","name","position","date_of_birth","team_id","height","weight"
357669,2,"Adriana SACHS","Defender","1993-12-25",1884881,NULL,NULL
420326,10,"Dalila IPPOLITO","Midfielder","2002-03-24",1884881,NULL,NULL
420324,8,"Daiana FALFAN","Midfielder","2000-10-14",1884881,NULL,NULL
357671,17,"Camila GOMEZ ARES","Midfielder","1994-10-26",1884881,NULL,NULL
417317,11,"Yamila RODRIGUEZ","Forward","1998-01-24",1884881,NULL,NULL
420334,3,"Eliana STABILE","Defender","1993-11-26",1884881,NULL,NULL
277423,5,"Vanesa SANTANA","Midfielder","1990-09-03",1884881,NULL,NULL
420328,14,"Miriam MAYORGA","Defender","1989-11-20",1884881,NULL,NULL
357674,15,"Florencia BONSEGUNDO","Midfielder","1993-07-14",1884881,NULL,NULL
461591,4,"Julieta CRUZ","Defender","1996-06-04",1884881,NULL,NULL
461590,13,"Sophia BRAUN","Defender","2000-01-26",1884881,NULL,NULL
277429,19,"Mariana LARROQUETTE","Forward","1992-10-24",1884881,NULL,NULL
330067,22,"Estefania BANINI","Forward","1990-06-21",1884881,NULL,NULL
461584,9,"Paulina GRAMAGLIA","Forward","2003-03-21",1884881,NULL,NULL
420318,16,"Lorena BENITEZ","Midfielder","1998-12-03",1884881,NULL,NULL
251033,18,"Gabriela CHAVEZ","Defender","1989-04-09",1884881,NULL,NULL
461597,20,"Chiara SINGARELLA","Forward","2003-12-05",1884881,NULL,NULL
357688,6,"Aldana COMETTI","Defender","1996-03-03",1884881,NULL,NULL
461594,7,"Romina NUNEZ","Midfielder","1994-01-01",1884881,NULL,NULL
461593,21,"Erica LONIGRO","Forward","1994-07-06",1884881,NULL,NULL
430530,2,"Courtney NEVIN","Defender","2002-02-12",1882891,NULL,NULL
419874,23,"Kyra COONEY-CROSS","Midfielder","2002-02-15",1882891,NULL,NULL
467201,15,"Clare HUNT","Defender","1999-03-12",1882891,NULL,NULL
326979,9,"Caitlin FOORD","Forward","1994-11-11",1882891,NULL,NULL
