"id","jersey_number","name","position","date_of_birth","team_id","height","weight"
394063,21,"Ellie CARPENTER","Defender","2000-04-28",1882891,NULL,NULL
419884,5,"Cortnee VINE","Forward","1998-04-09",1882891,NULL,NULL
419885,6,"Clare WHEELER","Midfielder","1998-01-14",1882891,NULL,NULL
386996,19,"Katrina GORRY","Midfielder","1992-08-13",1882891,NULL,NULL
326967,3,"Aivi LUIK","Defender","1985-03-18",1882891,NULL,NULL
386998,7,"Steph CATLEY","Defender","1994-01-26",1882891,NULL,NULL
386995,16,"Hayley RASO","Forward","1994-09-05",1882891,NULL,NULL
386994,14,"Alanna KENNEDY","Defender","1995-01-21",1882891,NULL,NULL
326972,13,"Tameka YALLOP","Midfielder","1991-06-16",1882891,NULL,NULL
251935,4,"Clare POLKINGHORNE","Defender","1989-02-01",1882891,NULL,NULL
326968,10,"Emily VAN EGMOND","Midfielder","1993-07-12",1882891,NULL,NULL
419898,11,"Mary FOWLER","Forward","2003-02-14",1882891,NULL,NULL
387000,8,"Alex CHIDIAC","Midfielder","1999-01-15",1882891,NULL,NULL
326970,17,"Kyah SIMON","Forward","1991-06-25",1882891,NULL,NULL
326971,20,"Sam KERR","Forward","1993-09-10",1882891,NULL,NULL
430521,22,"Charlotte GRANT","Defender","2001-09-20",1882891,NULL,NULL
381604,23,"GABI NUNES","Forward","1997-03-10",1882881,NULL,NULL
322662,7,"ANDRESSA","Forward","1992-11-10",1882881,NULL,NULL
413090,17,"ARY BORGES","Midfielder","1999-12-28",1882881,NULL,NULL
296322,4,"RAFAELLE","Defender","1991-06-18",1882881,NULL,NULL
322658,9,"DEBINHA","Forward","1991-10-20",1882881,NULL,NULL
415520,14,"LAUREN","Defender","2002-09-13",1882881,NULL,NULL
397537,8,"ANA VITORIA","Midfielder","2000-03-06",1882881,NULL,NULL
321165,5,"LUANA","Midfielder","1993-05-02",1882881,NULL,NULL
296328,16,"BIA ZANERATTO","Forward","1993-12-17",1882881,NULL,NULL
251055,19,"MONICA","Midfielder","1987-04-21",1882881,NULL,NULL
415529,13,"BRUNINHA","Defender","2002-06-16",1882881,NULL,NULL
398377,18,"GEYSE","Forward","1998-03-27",1882881,NULL,NULL
420470,2,"ANTONIA","Defender","1994-04-26",1882881,NULL,NULL
430580,15,"DUDA SAMPAIO","Forward","2001-05-18",1882881,NULL,NULL
397556,21,"KEROLIN","Forward","1999-11-17",1882881,NULL,NULL
190358,10,"MARTA","Forward","1986-02-19",1882881,NULL,NULL
215194,6,"TAMIRES","Defender","1987-10-10",1882881,NULL,NULL
397535,20,"ANGELINA","Midfielder","2000-01-26",1882881,NULL,NULL
420474,11,"ADRIANA","Midfielder","1996-11-17",1882881,NULL,NULL
420472,3,"KATHELLEN","Defender","1996-04-26",1882881,NULL,NULL
190146,12,"Christine SINCLAIR","Forward","1983-06-12",1883718,NULL,NULL
302146,2,"Allysha CHAPMAN","Defender","1989-01-25",1883718,NULL,NULL
300492,4,"Shelina ZADORSKY","Defender","1992-10-24",1883718,NULL,NULL
397230,7,"Julia GROSSO","Midfielder","2000-08-29",1883718,NULL,NULL
326252,10,"Ashley LAWRENCE","Defender","1995-06-11",1883718,NULL,NULL
377901,17,"Jessie FLEMING","Midfielder","1998-03-11",1883718,NULL,NULL
359180,3,"Kadeisha BUCHANAN","Defender","1995-11-05",1883718,NULL,NULL
224525,13,"Sophie SCHMIDT","Midfielder","1988-06-28",1883718,NULL,NULL
357771,19,"Adriana LEON","Forward","1992-10-02",1883718,NULL,NULL
326251,5,"QUINN","Midfielder","1995-08-11",1883718,NULL,NULL
357781,20,"Cloe LACASSE","Forward","1993-07-07",1883718,NULL,NULL
443223,21,"Simi AWUJO","Midfielder","2003-09-23",1883718,NULL,NULL
359191,15,"Nichelle PRINCE","Forward","1995-02-19",1883718,NULL,NULL
397234,9,"Jordyn HUITEMA","Forward","2001-05-08",1883718,NULL,NULL
377907,16,"Gabrielle CARLE","Defender","1998-10-12",1883718,NULL,NULL
395390,6,"Deanne ROSE","Forward","1999-03-03",1883718,NULL,NULL
397247,8,"Jayde RIVIERE","Defender","2001-01-22",1883718,NULL,NULL
420159,23,"Olivia SMITH","Forward","2004-08-05",1883718,NULL,NULL
420157,14,"Vanessa GILLES","Defender","1996-03-11",1883718,NULL,NULL
398394,11,"Evelyne VIENS","Forward","1997-02-06",1883718,NULL,NULL
357316,6,"ZHANG Xin","Midfielder","1992-05-23",1882892,NULL,NULL
412676,3,"DOU Jiaxing","Defender","2000-02-29",1882892,NULL,NULL
386979,11,"WANG Shanshan","Forward","1990-01-27",1882892,NULL,NULL
357314,7,"WANG Shuang","Forward","1995-01-23",1882892,NULL,NULL
412686,9,"SHEN Mengyu","Midfielder","2001-08-19",1882892,NULL,NULL
378028,8,"YAO Wei","Defender","1997-09-01",1882892,NULL,NULL
381068,15,"CHEN Qiaozhu","Defender","1999-09-08",1882892,NULL,NULL
358284,20,"XIAO Yuyi","Forward","1996-01-10",1882892,NULL,NULL
381417,16,"YAO Lingwei","Midfielder","1995-12-05",1882892,NULL,NULL
358281,18,"TANG Jiali","Forward","1995-03-16",1882892,NULL,NULL
298729,10,"ZHANG Rui","Midfielder","1989-01-17",1882892,NULL,NULL
298538,21,"GU Yasha","Midfielder","1990-11-28",1882892,NULL,NULL
298539,14,"LOU Jiahui","Forward","1991-05-26",1882892,NULL,NULL
381418,17,"WU Chengshu","Midfielder","1996-08-26",1882892,NULL,NULL
412692,19,"ZHANG Linyan","Midfielder","2001-01-16",1882892,NULL,NULL
411029,4,"WANG Linlin","Defender","2000-08-04",1882892,NULL,NULL
357266,5,"WU Haiyan","Defender","1993-02-26",1882892,NULL,NULL
358969,2,"LI Mengwen","Defender","1995-03-28",1882892,NULL,NULL
357307,13,"YANG Lina","Midfielder","1994-04-13",1882892,NULL,NULL
357274,23,"GAO Chen","Defender","1992-08-11",1882892,NULL,NULL
467015,20,"Monica RAMOS","Defender","1998-10-14",1885035,NULL,NULL
296357,16,"Lady ANDRADE","Midfielder","1992-01-10",1885035,NULL,NULL
358918,8,"Marcela RESTREPO","Midfielder","1995-11-10",1885035,NULL,NULL
467012,22,"Daniela CARACAS","Defender","1997-04-25",1885035,NULL,NULL
443330,14,"Angela BARON","Defender","2003-09-18",1885035,NULL,NULL
467011,23,"Elexa BAHR","Forward","1998-05-16",1885035,NULL,NULL
266402,4,"Diana OSPINA GARCIA","Midfielder","1989-03-03",1885035,NULL,NULL
467008,9,"Mayra RAMIREZ","Forward","1999-03-25",1885035,NULL,NULL
415727,7,"Maria Camila REYES","Midfielder","2002-05-11",1885035,NULL,NULL
467019,21,"Ivonne CHACON","Forward","1997-10-12",1885035,NULL,NULL
324521,6,"Daniela MONTOYA","Midfielder","1990-08-22",1885035,NULL,NULL
358920,10,"Leicy SANTOS","Midfielder","1996-05-16",1885035,NULL,NULL
467018,19,"Jorelyn CARABALI","Defender","1997-05-18",1885035,NULL,NULL
467017,5,"Lorena BEDOYA DURANGO","Midfielder","1997-10-06",1885035,NULL,NULL
443336,15,"Ana GUZMAN","Defender","2005-06-11",1885035,NULL,NULL
266411,11,"Catalina USME","Forward","1989-12-25",1885035,NULL,NULL
467025,2,"Manuela VANEGAS","Defender","2000-11-09",1885035,NULL,NULL
467007,3,"Daniela ARIAS","Defender","1994-08-31",1885035,NULL,NULL
322716,17,"Carolina ARIAS","Defender","1990-09-02",1885035,NULL,NULL
415740,18,"Linda CAICEDO","Forward","2005-02-22",1885035,NULL,NULL
377792,3,"Maria Paula COTO","Defender","1998-03-02",1884880,NULL,NULL
426607,14,"Priscilla CHINCHILLA","Midfielder","2001-07-11",1884880,NULL,NULL
381550,7,"Melissa HERRERA","Midfielder","1996-10-10",1884880,NULL,NULL
377806,10,"Gloriana VILLALOBOS","Midfielder","1999-08-20",1884880,NULL,NULL
381545,4,"Mariana BENAVIDES","Defender","1994-12-26",1884880,NULL,NULL
386857,15,"Cristin GRANADOS","Midfielder","1989-08-19",1884880,NULL,NULL
467464,22,"Catalina ESTRADA","Forward","1998-10-11",1884880,NULL,NULL
300758,2,"Gabriela GUILLEN","Defender","1992-03-01",1884880,NULL,NULL
443412,9,"Maria Paula SALAS","Forward","2002-07-12",1884880,NULL,NULL
377783,17,"Sofia VARELA","Forward","1998-03-28",1884880,NULL,NULL
443443,21,"Sheika SCOTT","Midfielder","2006-10-22",1884880,NULL,NULL
377810,8,"Mariela CAMPOS","Midfielder","1998-10-07",1884880,NULL,NULL
377778,20,"Fabiola VILLALOBOS","Defender","1998-03-13",1884880,NULL,NULL
377789,13,"Emilie VALENCIANO","Defender","1997-02-15",1884880,NULL,NULL
377788,12,"Maria Paula ELIZONDO","Defender","1998-11-30",1884880,NULL,NULL
443421,19,"Alexandra PINELL","Midfielder","2002-10-18",1884880,NULL,NULL
467481,5,"Valeria DEL CAMPO GUTIERREZ","Defender","2000-02-15",1884880,NULL,NULL
386875,6,"Carol SANCHEZ","Defender","1986-04-16",1884880,NULL,NULL
300762,16,"Katherine ALVARADO","Midfielder","1991-04-11",1884880,NULL,NULL
300763,11,"Raquel RODRIGUEZ","Midfielder","1993-10-28",1884880,NULL,NULL
462821,9,"Amalie VANGSGAARD","Forward","1996-11-29",1883719,NULL,NULL
467429,12,"Kathrine KUHL","Midfielder","2003-07-05",1883719,NULL,NULL
467427,23,"Sofie SVAVA","Defender","2000-08-11",1883719,NULL,NULL
467426,8,"Emma SNERLE","Midfielder","2001-03-23",1883719,NULL,NULL
467456,7,"Sanne TROELSGAARD","Midfielder","1988-08-15",1883719,NULL,NULL
467436,3,"Stine BALLISAGER","Defender","1994-01-03",1883719,NULL,NULL
300623,10,"Pernille HARDER","Forward","1992-11-15",1883719,NULL,NULL
467434,19,"Janni THOMSEN","Defender","2000-02-16",1883719,NULL,NULL
300619,5,"Simone BOYE","Defender","1992-03-03",1883719,NULL,NULL
467432,17,"Rikke Marie MADSEN","Forward","1997-08-09",1883719,NULL,NULL
467447,6,"Karen HOLMGAARD","Midfielder","1999-01-28",1883719,NULL,NULL
467444,18,"Luna GEVITZ","Defender","1994-03-03",1883719,NULL,NULL
467443,21,"Mille GEJL","Forward","1999-09-23",1883719,NULL,NULL
467440,20,"Signe BRUUN","Forward","1998-04-06",1883719,NULL,NULL
467455,13,"Sara THRIGE","Defender","1996-05-15",1883719,NULL,NULL
467454,15,"Frederikke THOGERSEN","Midfielder","1995-07-24",1883719,NULL,NULL
467452,14,"Nicoline SORENSEN","Midfielder","1997-08-15",1883719,NULL,NULL
467451,4,"Rikke SEVECKE","Defender","1996-06-15",1883719,NULL,NULL
467416,2,"Josefine HASBO","Midfielder","2001-11-20",1883719,NULL,NULL
300635,11,"Katrine VEJE","Defender","1991-06-19",1883719,NULL,NULL
381319,20,"Katie ZELEM","Midfielder","1996-01-20",1883720,NULL,NULL
397093,11,"Lauren HEMP","Forward","2000-08-07",1883720,NULL,NULL
412866,15,"Esme MORGAN","Defender","2000-10-18",1883720,NULL,NULL
414755,6,"Millie BRIGHT","Defender","1993-08-21",1883720,NULL,NULL
412864,18,"Chloe KELLY","Forward","1998-01-15",1883720,NULL,NULL
300643,9,"Rachel DALY","Forward","1991-12-06",1883720,NULL,NULL
397103,23,"Alessia RUSSO","Forward","1999-02-08",1883720,NULL,NULL
381327,16,"Jessica CARTER","Defender","1997-10-27",1883720,NULL,NULL
300649,12,"Jordan NOBBS","Midfielder","1992-12-08",1883720,NULL,NULL
420182,19,"Beth ENGLAND","Forward","1994-06-03",1883720,NULL,NULL
459605,22,"Katie ROBINSON","Forward","2002-08-08",1883720,NULL,NULL
459604,7,"Lauren JAMES","Forward","2001-09-29",1883720,NULL,NULL
397109,8,"Georgia STANWAY","Midfielder","1999-01-03",1883720,NULL,NULL
321239,17,"Laura COOMBS","Midfielder","1991-01-29",1883720,NULL,NULL
300637,2,"Lucy BRONZE","Defender","1991-10-28",1883720,NULL,NULL
397087,3,"Niamh CHARLES","Defender","1999-06-21",1883720,NULL,NULL
397115,14,"Lotte WUBBEN-MOY","Defender","1999-01-11",1883720,NULL,NULL
420184,4,"Keira WALSH","Midfielder","1997-04-08",1883720,NULL,NULL
387131,5,"Alex GREENWOOD","Defender","1993-09-07",1883720,NULL,NULL
397113,10,"Ella TOONE","Midfielder","1999-09-02",1883720,NULL,NULL
443079,23,"Vicki BECHO","Forward","2003-10-03",1884761,NULL,NULL
254849,9,"Eugenie LE SOMMER","Forward","1989-05-18",1884761,NULL,NULL
443077,4,"Laurina FAZER","Midfielder","2003-10-13",1884761,NULL,NULL
412930,13,"Selma BACHA","Defender","2000-11-09",1884761,NULL,NULL
387169,18,"Viviane ASSEYI","Forward","1993-11-20",1884761,NULL,NULL
467043,19,"Naomie FELLER","Forward","2001-11-06",1884761,NULL,NULL
358573,11,"Kadidiatou DIANI","Forward","1995-04-01",1884761,NULL,NULL
358671,6,"Sandie TOLETTI","Midfielder","1995-07-13",1884761,NULL,NULL
398314,12,"Clara MATEO","Forward","1997-11-28",1884761,NULL,NULL
358581,8,"Grace GEYORO","Midfielder","1997-07-02",1884761,NULL,NULL
412946,2,"Maelle LAKRAR","Defender","2000-05-27",1884761,NULL,NULL
398290,5,"Elisa DE ALMEIDA","Defender","1998-01-11",1884761,NULL,NULL
358672,14,"Aissatou TOUNKARA","Defender","1995-03-16",1884761,NULL,NULL
398288,20,"Estelle CASCARINO","Defender","1997-02-05",1884761,NULL,NULL
381203,22,"Eve PERISSET","Defender","1994-12-24",1884761,NULL,NULL
387218,10,"Amel MAJRI","Midfielder","1993-01-25",1884761,NULL,NULL
395231,7,"Sakina KARCHAOUI","Defender","1996-01-26",1884761,NULL,NULL
301151,15,"Kenza DALI","Midfielder","1991-07-31",1884761,NULL,NULL
430365,20,"Maika HAMANO","Forward","2004-05-09",1883723,NULL,NULL
300666,17,"Lea LE GARREC","Midfielder","1993-07-09",1884761,NULL,NULL
302715,3,"Wendie RENARD","Defender","1990-07-20",1884761,NULL,NULL
358757,13,"Sara DAEBRITZ","Midfielder","1995-02-15",1882879,NULL,NULL
325668,18,"Melanie LEUPOLZ","Midfielder","1994-04-14",1882879,NULL,NULL
325670,20,"Lina MAGULL","Midfielder","1994-08-15",1882879,NULL,NULL
466948,2,"Chantal HAGEL","Midfielder","1998-07-20",1882879,NULL,NULL
377665,10,"Laura FREIGANG","Forward","1998-02-01",1882879,NULL,NULL
397122,16,"Nicole ANYOMI","Forward","2000-02-10",1882879,NULL,NULL
397123,19,"Klara BUEHL","Midfielder","2000-12-07",1882879,NULL,NULL
300514,3,"Kathrin HENDRICH","Defender","1992-04-06",1882879,NULL,NULL
377677,7,"Lea SCHUELLER","Forward","1997-11-12",1882879,NULL,NULL
412972,15,"Sjoeke NUESKEN","Defender","2001-01-22",1882879,NULL,NULL
397131,4,"Sophia KLEINHERNE","Defender","2000-04-12",1882879,NULL,NULL
381224,17,"Felicitas RAUCH","Defender","1996-04-30",1882879,NULL,NULL
296661,5,"Marina HEGERING","Defender","1990-04-17",1882879,NULL,NULL
397141,6,"Lena OBERDORF","Midfielder","2001-12-19",1882879,NULL,NULL
397136,8,"Sydney LOHMANN","Midfielder","2000-06-19",1882879,NULL,NULL
300509,11,"Alexandra POPP","Forward","1991-04-06",1882879,NULL,NULL
300511,23,"Sara DOORSOUN","Defender","1991-11-17",1882879,NULL,NULL
420442,14,"Lena LATTWEIN","Midfielder","2000-05-02",1882879,NULL,NULL
300505,9,"Svenja HUTH","Midfielder","1991-01-25",1882879,NULL,NULL
443451,22,"Jule BRAND","Midfielder","2002-10-16",1882879,NULL,NULL
413158,6,"Melchie DUMORNAY","Midfielder","2003-08-17",1885012,NULL,NULL
461446,5,"Maudeline MORYL","Defender","2003-01-24",1885012,NULL,NULL
413159,8,"Danielle ETIENNE","Midfielder","2001-01-16",1885012,NULL,NULL
461445,3,"Jennyfer LIMAGE","Defender","1997-12-25",1885012,NULL,NULL
422213,20,"Kethna LOUIS","Defender","1996-08-05",1885012,NULL,NULL
411973,21,"Ruthny MATHURIN","Defender","2001-01-14",1885012,NULL,NULL
411968,9,"Sherly JEUDY","Midfielder","1998-10-13",1885012,NULL,NULL
461455,22,"Roselord BORGELLA","Forward","1993-04-01",1885012,NULL,NULL
413162,13,"Betina PETIT-FRERE","Defender","2003-08-01",1885012,NULL,NULL
413163,16,"Milan PIERRE-JEROME","Defender","2002-04-23",1885012,NULL,NULL
461449,18,"Noa GANTHIER","Midfielder","2002-10-13",1885012,NULL,NULL
413161,4,"Tabita JOSEPH","Defender","2003-09-13",1885012,NULL,NULL
421910,7,"Batcheba LOUIS","Forward","1997-06-15",1885012,NULL,NULL
460055,14,"Esthericove JOSEPH","Defender","2003-02-05",1885012,NULL,NULL
461460,2,"Chelsea SURPRIS","Defender","1996-12-20",1885012,NULL,NULL
461459,19,"Dayana PIERRE-LOUIS","Midfielder","2003-09-24",1885012,NULL,NULL
461457,15,"Darlina JOSEPH","Forward","2003-12-15",1885012,NULL,NULL
411134,10,"Nerilia MONDESIR","Forward","1999-01-17",1885012,NULL,NULL
460057,17,"Shwendesky JOSEPH","Forward","1997-11-18",1885012,NULL,NULL
411961,11,"Roseline ELOISSAINT","Forward","1999-02-20",1885012,NULL,NULL
467076,3,"Benedetta ORSI","Defender","2000-02-25",1883722,NULL,NULL
420238,8,"Barbara BONANSEA","Forward","1991-06-13",1883722,NULL,NULL
467086,20,"Giada GREGGI","Midfielder","2000-02-18",1883722,NULL,NULL
467085,4,"Lucia DI GUGLIELMO","Defender","1997-06-26",1883722,NULL,NULL
420237,13,"Elisa BARTOLI","Defender","1991-05-07",1883722,NULL,NULL
467080,14,"Chiara BECCARI","Forward","2004-09-27",1883722,NULL,NULL
357525,5,"Elena LINARI","Defender","1994-04-15",1883722,NULL,NULL
378037,19,"Martina LENZINI","Defender","1998-07-23",1883722,NULL,NULL
420247,9,"Valentina GIACINTI","Forward","1994-01-02",1883722,NULL,NULL
467062,16,"Giulia DRAGONI","Midfielder","2006-11-07",1883722,NULL,NULL
467061,7,"Sofia CANTORE","Forward","1999-09-30",1883722,NULL,NULL
357527,23,"Cecilia SALVAI","Defender","1993-12-02",1883722,NULL,NULL
420242,18,"Arianna CARUSO","Midfielder","1999-11-06",1883722,NULL,NULL
467090,2,"Emma SEVERINI","Midfielder","2003-07-18",1883722,NULL,NULL
378032,15,"Annamaria SERTURINI","Forward","1998-05-13",1883722,NULL,NULL
420243,21,"Valentina CERNOIA","Midfielder","1991-06-22",1883722,NULL,NULL
377971,17,"Lisa BOATTIN","Defender","1997-05-03",1883722,NULL,NULL
378008,6,"Manuela GIUGLIANO","Midfielder","1997-08-18",1883722,NULL,NULL
420248,10,"Cristiana GIRELLI","Forward","1990-04-23",1883722,NULL,NULL
420249,11,"Benedetta GLIONNA","Forward","1999-07-26",1883722,NULL,NULL
420516,10,"Jody BROWN","Midfielder","2002-04-16",1885011,NULL,NULL
420517,11,"Khadija SHAW","Forward","1997-01-31",1885011,NULL,NULL
467843,19,"Tiernny WILTSHIRE","Midfielder","1998-05-08",1885011,NULL,NULL
467842,12,"Kalyssa VAN ZANTEN","Midfielder","2001-08-25",1885011,NULL,NULL
420512,4,"Chantelle SWABY","Defender","1998-08-06",1885011,NULL,NULL
467841,9,"Kameron SIMMONDS","Forward","2003-12-06",1885011,NULL,NULL
420513,5,"Konya PLUMMER","Defender","1997-08-02",1885011,NULL,NULL
467840,20,"Atlanta PRIMUS","Midfielder","1997-04-21",1885011,NULL,NULL
324589,8,"Drew SPENCE","Midfielder","1992-10-23",1885011,NULL,NULL
420523,17,"Allyson SWABY","Defender","1996-10-03",1885011,NULL,NULL
420520,14,"Deneisha BLACKWOOD","Defender","1997-03-07",1885011,NULL,NULL
420488,18,"Trudi CARTER","Midfielder","1994-11-18",1885011,NULL,NULL
381333,3,"Vyan SAMPSON","Defender","1996-07-02",1885011,NULL,NULL
420503,22,"Kayla McKENNA","Midfielder","1996-09-03",1885011,NULL,NULL
445557,2,"Solai WASHINGTON","Midfielder","2005-10-01",1885011,NULL,NULL
467839,7,"Peyton McNAMARA","Midfielder","2002-02-22",1885011,NULL,NULL
420510,21,"Cheyna MATTHEWS","Forward","1993-11-10",1885011,NULL,NULL
467837,16,"Paige BAILEY-GAYLE","Midfielder","2001-11-12",1885011,NULL,NULL
420509,6,"Havana SOLAUN","Midfielder","1993-02-23",1885011,NULL,NULL
300473,15,"Tiffany CAMERON","Midfielder","1991-10-16",1885011,NULL,NULL
397190,9,"Riko UEKI","Forward","1999-07-30",1883723,NULL,NULL
358084,14,"Yui HASEGAWA","Midfielder","1997-01-29",1883723,NULL,NULL
419975,17,"Kiko SEIKE","Midfielder","1996-08-08",1883723,NULL,NULL
443522,15,"Aoba FUJINO","Midfielder","2004-01-27",1883723,NULL,NULL
358082,2,"Risa SHIMIZU","Defender","1996-06-15",1883723,NULL,NULL
358092,5,"Shiori MIYAKE","Defender","1995-10-13",1883723,NULL,NULL
397162,22,"Remina CHIBA","Forward","1999-04-30",1883723,NULL,NULL
397163,13,"Jun ENDO","Midfielder","2000-05-24",1883723,NULL,NULL
358283,6,"Hina SUGITA","Midfielder","1997-01-31",1883723,NULL,NULL
358091,19,"Miyabi MORIYA","Defender","1996-08-22",1883723,NULL,NULL
377685,10,"Fuka NAGANO","Midfielder","1999-03-09",1883723,NULL,NULL
298545,4,"Saki KUMAGAI","Defender","1990-10-17",1883723,NULL,NULL
443504,23,"Rion ISHIKAWA","Defender","2003-07-04",1883723,NULL,NULL
398321,16,"Honoka HAYASHI","Midfielder","1998-05-19",1883723,NULL,NULL
377596,3,"Moeka MINAMI","Defender","1998-12-07",1883723,NULL,NULL
397183,12,"Hana TAKAHASHI","Defender","2000-02-19",1883723,NULL,NULL
323039,11,"Mina TANAKA","Forward","1994-04-28",1883723,NULL,NULL
397178,7,"Hinata MIYAZAWA","Midfielder","1999-11-28",1883723,NULL,NULL
323033,8,"Hikaru NAOMOTO","Midfielder","1994-03-03",1883723,NULL,NULL
387204,4,"SHIM Seoyeon","Defender","1989-04-15",1885010,NULL,NULL
301317,9,"LEE Geummin","Midfielder","1994-04-07",1885010,NULL,NULL
322912,16,"JANG Selgi","Defender","1994-05-31",1885010,NULL,NULL
430222,2,"CHOO Hyojoo","Defender","2000-07-29",1885010,NULL,NULL
357391,11,"CHOE Yuri","Forward","1994-09-16",1885010,NULL,NULL
200393,13,"PARK Eunsun","Forward","1986-12-25",1885010,NULL,NULL
301327,17,"LEE Youngju","Defender","1992-04-22",1885010,NULL,NULL
321192,6,"LIM Seonjoo","Defender","1990-11-27",1885010,NULL,NULL
387209,8,"CHO Sohyun","Midfielder","1988-06-24",1885010,NULL,NULL
398218,23,"KANG Chaerim","Forward","1998-03-23",1885010,NULL,NULL
420235,7,"SON Hwayeon","Forward","1997-03-15",1885010,NULL,NULL
381396,3,"HONG Hyeji","Defender","1996-08-25",1885010,NULL,NULL
467539,19,"PHAIR Casey","Forward","2007-06-29",1885010,NULL,NULL
321968,20,"KIM Hyeri","Defender","1990-06-25",1885010,NULL,NULL
301329,14,"JEON Eunha","Midfielder","1993-01-28",1885010,NULL,NULL
443025,22,"BAE Yebin","Midfielder","2004-12-07",1885010,NULL,NULL
420221,5,"KIM Yunji","Midfielder","1989-06-01",1885010,NULL,NULL
300735,10,"JI Soyun","Midfielder","1991-02-21",1885010,NULL,NULL
357467,12,"MOON Mira","Forward","1992-02-28",1885010,NULL,NULL
415224,15,"CHUN Garam","Midfielder","2002-10-19",1885010,NULL,NULL
396934,21,"Yasmin MRABET","Defender","1999-08-08",1884821,NULL,NULL
467237,11,"Fatima TAGNAOUT","Forward","1999-01-20",1884821,NULL,NULL
467236,19,"Sakina OUZRAOUI","Forward","2001-08-29",1884821,NULL,NULL
467235,14,"Rkia MAZROUAI","Defender","2002-05-11",1884821,NULL,NULL
467234,5,"Nesryne EL CHAD","Defender","2003-03-13",1884821,NULL,NULL
467233,17,"Hanane AIT EL HAJ","Defender","1994-11-02",1884821,NULL,NULL
467232,16,"Anissa LAHMARI","Midfielder","1997-02-17",1884821,NULL,NULL
443087,18,"Kenza CHAPELLE","Midfielder","2002-08-22",1884821,NULL,NULL
467243,13,"Sabah SEGHIR","Defender","2000-09-27",1884821,NULL,NULL
467255,7,"Ghizlane CHEBBAK","Forward","1990-08-22",1884821,NULL,NULL
467252,23,"Rosella AYANE","Forward","1996-03-16",1884821,NULL,NULL
467262,2,"Zineb REDOUANI","Defender","2000-06-12",1884821,NULL,NULL
467230,20,"Sofia BOUFTINI","Midfielder","2002-01-25",1884821,NULL,NULL
467261,6,"Elodie NAKKACH","Midfielder","1995-01-20",1884821,NULL,NULL
419706,3,"Nouhaila BENZINA","Defender","1998-05-11",1884821,NULL,NULL
467227,8,"Salma AMANI","Midfielder","1989-11-28",1884821,NULL,NULL
467259,9,"Ibtissam JRAIDI","Forward","1992-12-09",1884821,NULL,NULL
467226,4,"Sarah KASSI","Midfielder","2003-09-09",1884821,NULL,NULL
467258,15,"Fatima GHARBI","Forward","2001-05-15",1884821,NULL,NULL
419704,10,"Najat BADRI","Defender","1988-05-19",1884821,NULL,NULL
430374,2,"Lynn WILMS","Defender","2000-10-03",1884883,NULL,NULL
386917,5,"Merel VAN DONGEN","Defender","1993-02-11",1884883,NULL,NULL
387076,7,"Lineth BEERENSTEYN","Forward","1996-10-11",1884883,NULL,NULL
430372,12,"Jill BAIJINGS","Midfielder","2001-02-23",1884883,NULL,NULL
386918,10,"Danielle VAN DE DONK","Midfielder","1991-08-05",1884883,NULL,NULL
412994,17,"Victoria PELOVA","Midfielder","1999-06-03",1884883,NULL,NULL
467106,19,"Wieke KAPTEIN","Midfielder","2005-08-29",1884883,NULL,NULL
